datum,titel,abstimmungstext,partei,parole
2016-09-25,"3. Schütze-Areal","Schütze-Areal, Industriequartier, Instandsetzung und Umbau des Schulhauses Heinrichstrasse, Erstellung eines Anbaus mit Kindergarten, Quartierhaus, Bibliothek und Sporthalle sowie eines Quartierparks, Investitionsbeitrag an die PBZ Pestalozzi-Bibliothek Zürich, Objektkredit von 61,005 Millionen Franken",SP,JA
2016-09-25,"3. Schütze-Areal","Schütze-Areal, Industriequartier, Instandsetzung und Umbau des Schulhauses Heinrichstrasse, Erstellung eines Anbaus mit Kindergarten, Quartierhaus, Bibliothek und Sporthalle sowie eines Quartierparks, Investitionsbeitrag an die PBZ Pestalozzi-Bibliothek Zürich, Objektkredit von 61,005 Millionen Franken",SVP,JA
2016-09-25,"3. Schütze-Areal","Schütze-Areal, Industriequartier, Instandsetzung und Umbau des Schulhauses Heinrichstrasse, Erstellung eines Anbaus mit Kindergarten, Quartierhaus, Bibliothek und Sporthalle sowie eines Quartierparks, Investitionsbeitrag an die PBZ Pestalozzi-Bibliothek Zürich, Objektkredit von 61,005 Millionen Franken",glp,JA
2016-09-25,"4. Schulanlage Schauenberg, Ersatzneubau","Schulanlage Schauenberg, Quartier Affoltern, Ersatzneubau, Objektkredit von 50,2 Millionen Franken",AL,JA
2016-09-25,"4. Schulanlage Schauenberg, Ersatzneubau","Schulanlage Schauenberg, Quartier Affoltern, Ersatzneubau, Objektkredit von 50,2 Millionen Franken",CVP,JA
2016-09-25,"4. Schulanlage Schauenberg, Ersatzneubau","Schulanlage Schauenberg, Quartier Affoltern, Ersatzneubau, Objektkredit von 50,2 Millionen Franken",FDP,JA
2016-09-25,"4. Schulanlage Schauenberg, Ersatzneubau","Schulanlage Schauenberg, Quartier Affoltern, Ersatzneubau, Objektkredit von 50,2 Millionen Franken","Grüne",JA
2016-09-25,"4. Schulanlage Schauenberg, Ersatzneubau","Schulanlage Schauenberg, Quartier Affoltern, Ersatzneubau, Objektkredit von 50,2 Millionen Franken",SP,JA
2016-09-25,"4. Schulanlage Schauenberg, Ersatzneubau","Schulanlage Schauenberg, Quartier Affoltern, Ersatzneubau, Objektkredit von 50,2 Millionen Franken",SVP,JA
2016-09-25,"4. Schulanlage Schauenberg, Ersatzneubau","Schulanlage Schauenberg, Quartier Affoltern, Ersatzneubau, Objektkredit von 50,2 Millionen Franken",glp,JA
2017-02-12,"1. Initiative «Faires Wahlrecht für Züri – jede Stimme zählt!»","Volksinitiative «Faires Wahlrecht für Züri – jede Stimme zählt!»",AL,JA
2017-02-12,"1. Initiative «Faires Wahlrecht für Züri – jede Stimme zählt!»","Volksinitiative «Faires Wahlrecht für Züri – jede Stimme zählt!»",CVP,JA
2017-02-12,"1. Initiative «Faires Wahlrecht für Züri – jede Stimme zählt!»","Volksinitiative «Faires Wahlrecht für Züri – jede Stimme zählt!»",FDP,NEIN
2017-02-12,"1. Initiative «Faires Wahlrecht für Züri – jede Stimme zählt!»","Volksinitiative «Faires Wahlrecht für Züri – jede Stimme zählt!»","Grüne",JA
2017-02-12,"1. Initiative «Faires Wahlrecht für Züri – jede Stimme zählt!»","Volksinitiative «Faires Wahlrecht für Züri – jede Stimme zählt!»",SP,NEIN
2017-02-12,"1. Initiative «Faires Wahlrecht für Züri – jede Stimme zählt!»","Volksinitiative «Faires Wahlrecht für Züri – jede Stimme zählt!»",SVP,NEIN
2017-02-12,"1. Initiative «Faires Wahlrecht für Züri – jede Stimme zählt!»","Volksinitiative «Faires Wahlrecht für Züri – jede Stimme zählt!»",glp,JA
2017-02-12,"2. Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum","Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum, Gemeindebeschluss",AL,NEIN
2017-02-12,"2. Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum","Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum, Gemeindebeschluss",CVP,JA
2017-02-12,"2. Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum","Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum, Gemeindebeschluss",FDP,JA
2017-02-12,"2. Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum","Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum, Gemeindebeschluss","Grüne",JA
2017-02-12,"2. Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum","Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum, Gemeindebeschluss",SP,JA
2017-02-12,"2. Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum","Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum, Gemeindebeschluss",SVP,NEIN
2017-02-12,"2. Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum","Konfliktvermittlung und Hilfe im öffentlich zugänglichen Raum, Gemeindebeschluss",glp,JA
2017-02-12,"3. Neubau Schulanlage Pfingstweid","Neubau Schulanlage Pfingstweid, Escher-Wyss-Quartier, Objektkredit von 29,4387 Millionen Franken",AL,JA
2017-02-12,"3. Neubau Schulanlage Pfingstweid","Neubau Schulanlage Pfingstweid, Escher-Wyss-Quartier, Objektkredit von 29,4387 Millionen Franken",CVP,JA
2017-02-12,"3. Neubau Schulanlage Pfingstweid","Neubau Schulanlage Pfingstweid, Escher-Wyss-Quartier, Objektkredit von 29,4387 Millionen Franken",FDP,JA
2017-02-12,"3. Neubau Schulanlage Pfingstweid","Neubau Schulanlage Pfingstweid, Escher-Wyss-Quartier, Objektkredit von 29,4387 Millionen Franken","Grüne",JA
2017-02-12,"3. Neubau Schulanlage Pfingstweid","Neubau Schulanlage Pfingstweid, Escher-Wyss-Quartier, Objektkredit von 29,4387 Millionen Franken",SP,JA
2017-02-12,"3. Neubau Schulanlage Pfingstweid","Neubau Schulanlage Pfingstweid, Escher-Wyss-Quartier, Objektkredit von 29,4387 Millionen Franken",SVP,JA
2017-02-12,"3. Neubau Schulanlage Pfingstweid","Neubau Schulanlage Pfingstweid, Escher-Wyss-Quartier, Objektkredit von 29,4387 Millionen Franken",glp,JA
2017-05-21,"1. Wohnbauaktion 2017","Wohnbauaktion 2017, Rahmenkredit von 90 Millionen Franken",AL,JA
2017-05-21,"1. Wohnbauaktion 2017","Wohnbauaktion 2017, Rahmenkredit von 90 Millionen Franken",CVP,JA
2017-05-21,"1. Wohnbauaktion 2017","Wohnbauaktion 2017, Rahmenkredit von 90 Millionen Franken",FDP,NEIN
2017-05-21,"1. Wohnbauaktion 2017","Wohnbauaktion 2017, Rahmenkredit von 90 Millionen Franken","Grüne",JA
2017-05-21,"1. Wohnbauaktion 2017","Wohnbauaktion 2017, Rahmenkredit von 90 Millionen Franken",SP,JA
2017-05-21,"1. Wohnbauaktion 2017","Wohnbauaktion 2017, Rahmenkredit von 90 Millionen Franken",SVP,NEIN
2017-05-21,"1. Wohnbauaktion 2017","Wohnbauaktion 2017, Rahmenkredit von 90 Millionen Franken",glp,JA
2017-05-21,"2. Gegenvorschlag zur Grünstadt-Initiative","Gegenvorschlag des Gemeinderats zur «Volksinitiative für den Schutz und die Förderung von Grün- und Freiräumen» (Grünstadt-Initiative)",AL,JA
2017-05-21,"2. Gegenvorschlag zur Grünstadt-Initiative","Gegenvorschlag des Gemeinderats zur «Volksinitiative für den Schutz und die Förderung von Grün- und Freiräumen» (Grünstadt-Initiative)",CVP,JA
2017-05-21,"2. Gegenvorschlag zur Grünstadt-Initiative","Gegenvorschlag des Gemeinderats zur «Volksinitiative für den Schutz und die Förderung von Grün- und Freiräumen» (Grünstadt-Initiative)",FDP,NEIN
2017-05-21,"2. Gegenvorschlag zur Grünstadt-Initiative","Gegenvorschlag des Gemeinderats zur «Volksinitiative für den Schutz und die Förderung von Grün- und Freiräumen» (Grünstadt-Initiative)","Grüne",JA
2017-05-21,"2. Gegenvorschlag zur Grünstadt-Initiative","Gegenvorschlag des Gemeinderats zur «Volksinitiative für den Schutz und die Förderung von Grün- und Freiräumen» (Grünstadt-Initiative)",SP,JA
2017-05-21,"2. Gegenvorschlag zur Grünstadt-Initiative","Gegenvorschlag des Gemeinderats zur «Volksinitiative für den Schutz und die Förderung von Grün- und Freiräumen» (Grünstadt-Initiative)",SVP,NEIN
2017-05-21,"2. Gegenvorschlag zur Grünstadt-Initiative","Gegenvorschlag des Gemeinderats zur «Volksinitiative für den Schutz und die Förderung von Grün- und Freiräumen» (Grünstadt-Initiative)",glp,JA
2017-05-21,"3. Verein Tanzhaus Zürich, jährliche Beiträge","Verein Tanzhaus Zürich, jährliche Beiträge von maximal 1'827'166 Franken ab 2019",AL,JA
2017-05-21,"3. Verein Tanzhaus Zürich, jährliche Beiträge","Verein Tanzhaus Zürich, jährliche Beiträge von maximal 1'827'166 Franken ab 2019",CVP,JA
2017-05-21,"3. Verein Tanzhaus Zürich, jährliche Beiträge","Verein Tanzhaus Zürich, jährliche Beiträge von maximal 1'827'166 Franken ab 2019",FDP,JA
2017-05-21,"3. Verein Tanzhaus Zürich, jährliche Beiträge","Verein Tanzhaus Zürich, jährliche Beiträge von maximal 1'827'166 Franken ab 2019","Grüne",JA
2017-05-21,"3. Verein Tanzhaus Zürich, jährliche Beiträge","Verein Tanzhaus Zürich, jährliche Beiträge von maximal 1'827'166 Franken ab 2019",SP,JA
2017-05-21,"3. Verein Tanzhaus Zürich, jährliche Beiträge","Verein Tanzhaus Zürich, jährliche Beiträge von maximal 1'827'166 Franken ab 2019",SVP,NEIN
2017-05-21,"3. Verein Tanzhaus Zürich, jährliche Beiträge","Verein Tanzhaus Zürich, jährliche Beiträge von maximal 1'827'166 Franken ab 2019",glp,JA
2017-09-24,"1. Erstellung Bundesasylzentrum","Erstellung Bundesasylzentrum auf dem Duttweiler-Areal, Zürich-West, Objektkredit von 24,5 Millionen Franken",AL,Stimmfreigabe
2017-09-24,"1. Erstellung Bundesasylzentrum","Erstellung Bundesasylzentrum auf dem Duttweiler-Areal, Zürich-West, Objektkredit von 24,5 Millionen Franken",CVP,JA
2017-09-24,"1. Erstellung Bundesasylzentrum","Erstellung Bundesasylzentrum auf dem Duttweiler-Areal, Zürich-West, Objektkredit von 24,5 Millionen Franken",FDP,JA
2017-09-24,"1. Erstellung Bundesasylzentrum","Erstellung Bundesasylzentrum auf dem Duttweiler-Areal, Zürich-West, Objektkredit von 24,5 Millionen Franken","Grüne",JA
2017-09-24,"1. Erstellung Bundesasylzentrum","Erstellung Bundesasylzentrum auf dem Duttweiler-Areal, Zürich-West, Objektkredit von 24,5 Millionen Franken",SP,JA
2017-09-24,"1. Erstellung Bundesasylzentrum","Erstellung Bundesasylzentrum auf dem Duttweiler-Areal, Zürich-West, Objektkredit von 24,5 Millionen Franken",SVP,NEIN
2017-09-24,"1. Erstellung Bundesasylzentrum","Erstellung Bundesasylzentrum auf dem Duttweiler-Areal, Zürich-West, Objektkredit von 24,5 Millionen Franken",glp,JA
2017-09-24,"2. Aufhebung GB «Rationelle Verwendung von Elektrizität»","Gemeindebeschluss «Rationelle Verwendung von Elektrizität» vom 5. März 1989, Aufhebung",AL,JA
2017-09-24,"2. Aufhebung GB «Rationelle Verwendung von Elektrizität»","Gemeindebeschluss «Rationelle Verwendung von Elektrizität» vom 5. März 1989, Aufhebung",CVP,JA
2017-09-24,"2. Aufhebung GB «Rationelle Verwendung von Elektrizität»","Gemeindebeschluss «Rationelle Verwendung von Elektrizität» vom 5. März 1989, Aufhebung",FDP,JA
2017-09-24,"2. Aufhebung GB «Rationelle Verwendung von Elektrizität»","Gemeindebeschluss «Rationelle Verwendung von Elektrizität» vom 5. März 1989, Aufhebung","Grüne",JA
2017-09-24,"2. Aufhebung GB «Rationelle Verwendung von Elektrizität»","Gemeindebeschluss «Rationelle Verwendung von Elektrizität» vom 5. März 1989, Aufhebung",SP,JA
2017-09-24,"2. Aufhebung GB «Rationelle Verwendung von Elektrizität»","Gemeindebeschluss «Rationelle Verwendung von Elektrizität» vom 5. März 1989, Aufhebung",SVP,JA
2017-09-24,"2. Aufhebung GB «Rationelle Verwendung von Elektrizität»","Gemeindebeschluss «Rationelle Verwendung von Elektrizität» vom 5. März 1989, Aufhebung",glp,JA
2017-09-24,"3. Rahmenkredit Energieerzeugungsanlagen","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Erwerb von Energieerzeugungsanlagen, die erneuerbare Energie nutzen",AL,JA
2017-09-24,"3. Rahmenkredit Energieerzeugungsanlagen","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Erwerb von Energieerzeugungsanlagen, die erneuerbare Energie nutzen",CVP,JA
2017-09-24,"3. Rahmenkredit Energieerzeugungsanlagen","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Erwerb von Energieerzeugungsanlagen, die erneuerbare Energie nutzen",FDP,JA
2017-09-24,"3. Rahmenkredit Energieerzeugungsanlagen","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Erwerb von Energieerzeugungsanlagen, die erneuerbare Energie nutzen","Grüne",JA
2017-09-24,"3. Rahmenkredit Energieerzeugungsanlagen","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Erwerb von Energieerzeugungsanlagen, die erneuerbare Energie nutzen",SP,JA
2017-09-24,"3. Rahmenkredit Energieerzeugungsanlagen","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Erwerb von Energieerzeugungsanlagen, die erneuerbare Energie nutzen",SVP,NEIN
2017-09-24,"3. Rahmenkredit Energieerzeugungsanlagen","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Erwerb von Energieerzeugungsanlagen, die erneuerbare Energie nutzen",glp,JA
2017-09-24,"4. Cabaret Voltaire, Liegenschaftentausch","Cabaret Voltaire, langfristige Sicherung durch Liegenschaftentausch mit der Anlagestiftung Swiss Life",AL,NEIN
2017-09-24,"4. Cabaret Voltaire, Liegenschaftentausch","Cabaret Voltaire, langfristige Sicherung durch Liegenschaftentausch mit der Anlagestiftung Swiss Life",CVP,JA
2017-09-24,"4. Cabaret Voltaire, Liegenschaftentausch","Cabaret Voltaire, langfristige Sicherung durch Liegenschaftentausch mit der Anlagestiftung Swiss Life",FDP,JA
2017-09-24,"4. Cabaret Voltaire, Liegenschaftentausch","Cabaret Voltaire, langfristige Sicherung durch Liegenschaftentausch mit der Anlagestiftung Swiss Life","Grüne",JA
2017-09-24,"4. Cabaret Voltaire, Liegenschaftentausch","Cabaret Voltaire, langfristige Sicherung durch Liegenschaftentausch mit der Anlagestiftung Swiss Life",SP,JA
2017-09-24,"4. Cabaret Voltaire, Liegenschaftentausch","Cabaret Voltaire, langfristige Sicherung durch Liegenschaftentausch mit der Anlagestiftung Swiss Life",SVP,NEIN
2017-09-24,"4. Cabaret Voltaire, Liegenschaftentausch","Cabaret Voltaire, langfristige Sicherung durch Liegenschaftentausch mit der Anlagestiftung Swiss Life",glp,JA
2017-11-26,"1. Schulbehördenorganisation, Neuordnung","Ausrichtung der Schulbehördenorganisation auf die schulische Integration und weitere Massnahmen zur Verbesserung der Führung im Schulwesen der Stadt Zürich, Änderung der Gemeindeordnung",AL,NEIN
2017-11-26,"1. Schulbehördenorganisation, Neuordnung","Ausrichtung der Schulbehördenorganisation auf die schulische Integration und weitere Massnahmen zur Verbesserung der Führung im Schulwesen der Stadt Zürich, Änderung der Gemeindeordnung",CVP,JA
2017-11-26,"1. Schulbehördenorganisation, Neuordnung","Ausrichtung der Schulbehördenorganisation auf die schulische Integration und weitere Massnahmen zur Verbesserung der Führung im Schulwesen der Stadt Zürich, Änderung der Gemeindeordnung",FDP,JA
2017-11-26,"1. Schulbehördenorganisation, Neuordnung","Ausrichtung der Schulbehördenorganisation auf die schulische Integration und weitere Massnahmen zur Verbesserung der Führung im Schulwesen der Stadt Zürich, Änderung der Gemeindeordnung","Grüne",JA
2017-11-26,"1. Schulbehördenorganisation, Neuordnung","Ausrichtung der Schulbehördenorganisation auf die schulische Integration und weitere Massnahmen zur Verbesserung der Führung im Schulwesen der Stadt Zürich, Änderung der Gemeindeordnung",SP,JA
2017-11-26,"1. Schulbehördenorganisation, Neuordnung","Ausrichtung der Schulbehördenorganisation auf die schulische Integration und weitere Massnahmen zur Verbesserung der Führung im Schulwesen der Stadt Zürich, Änderung der Gemeindeordnung",SVP,NEIN
2017-11-26,"1. Schulbehördenorganisation, Neuordnung","Ausrichtung der Schulbehördenorganisation auf die schulische Integration und weitere Massnahmen zur Verbesserung der Führung im Schulwesen der Stadt Zürich, Änderung der Gemeindeordnung",glp,JA
2017-11-26,"2. Energielösungen ewz, Rahmenkredit","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Bau von Anlagen des Geschäftsfelds Energielösungen",AL,JA
2017-11-26,"2. Energielösungen ewz, Rahmenkredit","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Bau von Anlagen des Geschäftsfelds Energielösungen",CVP,JA
2017-11-26,"2. Energielösungen ewz, Rahmenkredit","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Bau von Anlagen des Geschäftsfelds Energielösungen",FDP,NEIN
2017-11-26,"2. Energielösungen ewz, Rahmenkredit","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Bau von Anlagen des Geschäftsfelds Energielösungen","Grüne",JA
2017-11-26,"2. Energielösungen ewz, Rahmenkredit","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Bau von Anlagen des Geschäftsfelds Energielösungen",SP,JA
2017-11-26,"2. Energielösungen ewz, Rahmenkredit","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Bau von Anlagen des Geschäftsfelds Energielösungen",SVP,NEIN
2017-11-26,"2. Energielösungen ewz, Rahmenkredit","Elektrizitätswerk der Stadt Zürich, Rahmenkredit von 200 Millionen Franken für den Bau von Anlagen des Geschäftsfelds Energielösungen",glp,JA
2017-11-26,"3. Alterszentrum Mathysweg, Ersatzneubau, Objektkredit","Alterszentrum Mathysweg, Quartier Albisrieden, Ersatzneubau, Objektkredit von 63,25 Millionen Franken",AL,JA
2017-11-26,"3. Alterszentrum Mathysweg, Ersatzneubau, Objektkredit","Alterszentrum Mathysweg, Quartier Albisrieden, Ersatzneubau, Objektkredit von 63,25 Millionen Franken",CVP,JA
2017-11-26,"3. Alterszentrum Mathysweg, Ersatzneubau, Objektkredit","Alterszentrum Mathysweg, Quartier Albisrieden, Ersatzneubau, Objektkredit von 63,25 Millionen Franken",FDP,JA
2017-11-26,"3. Alterszentrum Mathysweg, Ersatzneubau, Objektkredit","Alterszentrum Mathysweg, Quartier Albisrieden, Ersatzneubau, Objektkredit von 63,25 Millionen Franken","Grüne",JA
2017-11-26,"3. Alterszentrum Mathysweg, Ersatzneubau, Objektkredit","Alterszentrum Mathysweg, Quartier Albisrieden, Ersatzneubau, Objektkredit von 63,25 Millionen Franken",SP,JA
2017-11-26,"3. Alterszentrum Mathysweg, Ersatzneubau, Objektkredit","Alterszentrum Mathysweg, Quartier Albisrieden, Ersatzneubau, Objektkredit von 63,25 Millionen Franken",SVP,JA
2017-11-26,"3. Alterszentrum Mathysweg, Ersatzneubau, Objektkredit","Alterszentrum Mathysweg, Quartier Albisrieden, Ersatzneubau, Objektkredit von 63,25 Millionen Franken",glp,JA
2017-11-26,"4. Schulanlage Hofacker, Objektkredit","Schulanlage Hofacker, Quartier Hirslanden, Ersatzneubau eines Sekundarschulhauses mit Dreifachsporthalle sowie Ausbauten in den Hauptgebäuden, Objektkredit von 33,8 Millionen Franken",AL,JA
2017-11-26,"4. Schulanlage Hofacker, Objektkredit","Schulanlage Hofacker, Quartier Hirslanden, Ersatzneubau eines Sekundarschulhauses mit Dreifachsporthalle sowie Ausbauten in den Hauptgebäuden, Objektkredit von 33,8 Millionen Franken",CVP,JA
2017-11-26,"4. Schulanlage Hofacker, Objektkredit","Schulanlage Hofacker, Quartier Hirslanden, Ersatzneubau eines Sekundarschulhauses mit Dreifachsporthalle sowie Ausbauten in den Hauptgebäuden, Objektkredit von 33,8 Millionen Franken",FDP,JA
2017-11-26,"4. Schulanlage Hofacker, Objektkredit","Schulanlage Hofacker, Quartier Hirslanden, Ersatzneubau eines Sekundarschulhauses mit Dreifachsporthalle sowie Ausbauten in den Hauptgebäuden, Objektkredit von 33,8 Millionen Franken","Grüne",JA
2017-11-26,"4. Schulanlage Hofacker, Objektkredit","Schulanlage Hofacker, Quartier Hirslanden, Ersatzneubau eines Sekundarschulhauses mit Dreifachsporthalle sowie Ausbauten in den Hauptgebäuden, Objektkredit von 33,8 Millionen Franken",SP,JA
2017-11-26,"4. Schulanlage Hofacker, Objektkredit","Schulanlage Hofacker, Quartier Hirslanden, Ersatzneubau eines Sekundarschulhauses mit Dreifachsporthalle sowie Ausbauten in den Hauptgebäuden, Objektkredit von 33,8 Millionen Franken",SVP,NEIN
2017-11-26,"4. Schulanlage Hofacker, Objektkredit","Schulanlage Hofacker, Quartier Hirslanden, Ersatzneubau eines Sekundarschulhauses mit Dreifachsporthalle sowie Ausbauten in den Hauptgebäuden, Objektkredit von 33,8 Millionen Franken",glp,JA
2017-11-26,"5. Gegenvorschlag zur Initiative Nachhaltige und faire Ernährung","Gegenvorschlag des Gemeinderats zur Volksinitiative «Nachhaltige und faire Ernährung», Änderung der Gemeindeordnung",AL,Stimmfreigabe
2017-11-26,"5. Gegenvorschlag zur Initiative Nachhaltige und faire Ernährung","Gegenvorschlag des Gemeinderats zur Volksinitiative «Nachhaltige und faire Ernährung», Änderung der Gemeindeordnung",CVP,NEIN
2017-11-26,"5. Gegenvorschlag zur Initiative Nachhaltige und faire Ernährung","Gegenvorschlag des Gemeinderats zur Volksinitiative «Nachhaltige und faire Ernährung», Änderung der Gemeindeordnung",FDP,NEIN
2017-11-26,"5. Gegenvorschlag zur Initiative Nachhaltige und faire Ernährung","Gegenvorschlag des Gemeinderats zur Volksinitiative «Nachhaltige und faire Ernährung», Änderung der Gemeindeordnung","Grüne",JA
2017-11-26,"5. Gegenvorschlag zur Initiative Nachhaltige und faire Ernährung","Gegenvorschlag des Gemeinderats zur Volksinitiative «Nachhaltige und faire Ernährung», Änderung der Gemeindeordnung",SP,JA
2017-11-26,"5. Gegenvorschlag zur Initiative Nachhaltige und faire Ernährung","Gegenvorschlag des Gemeinderats zur Volksinitiative «Nachhaltige und faire Ernährung», Änderung der Gemeindeordnung",SVP,NEIN
2017-11-26,"5. Gegenvorschlag zur Initiative Nachhaltige und faire Ernährung","Gegenvorschlag des Gemeinderats zur Volksinitiative «Nachhaltige und faire Ernährung», Änderung der Gemeindeordnung",glp,JA
2018-06-10,"1. Tagesschule 2025: Pilotphase II","Tagesschule 2025: Pilotphase II des städtischen Pilotprojekts mit gebundenen Tagesschulen an der Volksschule, Objektkredit von 74,57 Millionen Franken für die Jahre 2018–2022",AL,JA
2018-06-10,"1. Tagesschule 2025: Pilotphase II","Tagesschule 2025: Pilotphase II des städtischen Pilotprojekts mit gebundenen Tagesschulen an der Volksschule, Objektkredit von 74,57 Millionen Franken für die Jahre 2018–2022",BDP,JA
2018-06-10,"1. Tagesschule 2025: Pilotphase II","Tagesschule 2025: Pilotphase II des städtischen Pilotprojekts mit gebundenen Tagesschulen an der Volksschule, Objektkredit von 74,57 Millionen Franken für die Jahre 2018–2022",EVP,Stimmfreigabe
2018-06-10,"1. Tagesschule 2025: Pilotphase II","Tagesschule 2025: Pilotphase II des städtischen Pilotprojekts mit gebundenen Tagesschulen an der Volksschule, Objektkredit von 74,57 Millionen Franken für die Jahre 2018–2022",FDP,JA
2018-06-10,"1. Tagesschule 2025: Pilotphase II","Tagesschule 2025: Pilotphase II des städtischen Pilotprojekts mit gebundenen Tagesschulen an der Volksschule, Objektkredit von 74,57 Millionen Franken für die Jahre 2018–2022","Grüne",JA
2018-06-10,"1. Tagesschule 2025: Pilotphase II","Tagesschule 2025: Pilotphase II des städtischen Pilotprojekts mit gebundenen Tagesschulen an der Volksschule, Objektkredit von 74,57 Millionen Franken für die Jahre 2018–2022",SP,JA
2018-06-10,"1. Tagesschule 2025: Pilotphase II","Tagesschule 2025: Pilotphase II des städtischen Pilotprojekts mit gebundenen Tagesschulen an der Volksschule, Objektkredit von 74,57 Millionen Franken für die Jahre 2018–2022",SVP,NEIN
2018-06-10,"1. Tagesschule 2025: Pilotphase II","Tagesschule 2025: Pilotphase II des städtischen Pilotprojekts mit gebundenen Tagesschulen an der Volksschule, Objektkredit von 74,57 Millionen Franken für die Jahre 2018–2022",glp,JA
2018-06-10,"10. Mühleweg, Neubau für die Kriminalabteilung der Stadtpolizei","Grundstück Mühleweg, Escher-Wyss-Quartier, Neubau für die Kriminalabteilung der Stadtpolizei, Übertragung vom Finanz- ins Verwaltungsvermögen, Objektkredit von 82,37358 Millionen Franken",AL,Stimmfreigabe
2018-06-10,"10. Mühleweg, Neubau für die Kriminalabteilung der Stadtpolizei","Grundstück Mühleweg, Escher-Wyss-Quartier, Neubau für die Kriminalabteilung der Stadtpolizei, Übertragung vom Finanz- ins Verwaltungsvermögen, Objektkredit von 82,37358 Millionen Franken",BDP,JA
2018-06-10,"10. Mühleweg, Neubau für die Kriminalabteilung der Stadtpolizei","Grundstück Mühleweg, Escher-Wyss-Quartier, Neubau für die Kriminalabteilung der Stadtpolizei, Übertragung vom Finanz- ins Verwaltungsvermögen, Objektkredit von 82,37358 Millionen Franken",EVP,JA
2018-06-10,"10. Mühleweg, Neubau für die Kriminalabteilung der Stadtpolizei","Grundstück Mühleweg, Escher-Wyss-Quartier, Neubau für die Kriminalabteilung der Stadtpolizei, Übertragung vom Finanz- ins Verwaltungsvermögen, Objektkredit von 82,37358 Millionen Franken",FDP,JA
2018-06-10,"10. Mühleweg, Neubau für die Kriminalabteilung der Stadtpolizei","Grundstück Mühleweg, Escher-Wyss-Quartier, Neubau für die Kriminalabteilung der Stadtpolizei, Übertragung vom Finanz- ins Verwaltungsvermögen, Objektkredit von 82,37358 Millionen Franken","Grüne",JA
2018-06-10,"10. Mühleweg, Neubau für die Kriminalabteilung der Stadtpolizei","Grundstück Mühleweg, Escher-Wyss-Quartier, Neubau für die Kriminalabteilung der Stadtpolizei, Übertragung vom Finanz- ins Verwaltungsvermögen, Objektkredit von 82,37358 Millionen Franken",SP,JA
2018-06-10,"10. Mühleweg, Neubau für die Kriminalabteilung der Stadtpolizei","Grundstück Mühleweg, Escher-Wyss-Quartier, Neubau für die Kriminalabteilung der Stadtpolizei, Übertragung vom Finanz- ins Verwaltungsvermögen, Objektkredit von 82,37358 Millionen Franken",SVP,JA
2018-06-10,"10. Mühleweg, Neubau für die Kriminalabteilung der Stadtpolizei","Grundstück Mühleweg, Escher-Wyss-Quartier, Neubau für die Kriminalabteilung der Stadtpolizei, Übertragung vom Finanz- ins Verwaltungsvermögen, Objektkredit von 82,37358 Millionen Franken",glp,JA
2018-06-10,"2. Gemeinnütziger Wohnungsbau auf dem Koch-Areal","Gemeinnütziger Wohnungsbau auf dem Koch-Areal, Quartiere Albisrieden/Altstetten, Übertragung der Wohnbaufelder vom Finanz- ins Verwaltungsvermögen, Objektkredit von 35,126388 Millionen Franken und Genehmigung Projektierungskredit (Eventualverpflichtung) von 6,887 Millionen Franken",AL,JA
2018-06-10,"2. Gemeinnütziger Wohnungsbau auf dem Koch-Areal","Gemeinnütziger Wohnungsbau auf dem Koch-Areal, Quartiere Albisrieden/Altstetten, Übertragung der Wohnbaufelder vom Finanz- ins Verwaltungsvermögen, Objektkredit von 35,126388 Millionen Franken und Genehmigung Projektierungskredit (Eventualverpflichtung) von 6,887 Millionen Franken",BDP,NEIN
